id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/2555086	10.2307/2555086	For Love or Money? The Impact of Income Taxes on Marriage	James Alm, Leslie A. Whittington	Economica	66	263	1999-08-01T00:00:00Z	pp. 297-316	The London School of Economics and Political Science, The Suntory and Toyota International Centres for Economics and Related Disciplines, Wiley	fla		There is a large empirical literature that demonstrates the importance of economic factors in the decision to marry. Taxes, however, have been largely overlooked as a determinant of marriage, even though the tax system in the United States is not marriage-neutral; that is, when two individuals marry, their marital income tax burden is typically different-sometimes higher, sometimes lower-than their combined single income tax obligations. In this paper we explore the impact of the federal individual income tax, as well as other economic and demographic variables, on the marriage decisions of individuals. Using longitudinal data from the Panel Study on Income Dynamics for the period 1968-92, we estimate a discrete-time hazard model of the time to first marriage. We find that the probability of marriage is significantly affected by a range of economic and demographic variables. Importantly, we find that an increase in total income taxes paid by married versus single women has a negative effect on the likelihood of marriage, and that the change in the marginal tax rate is also a significant determinant of marriage in some cases; in contrast, the tax effects are rarely significant in determining marriage probabilities among men, although there are some differential responses by race. In general, the impacts of the income tax variables, even when statistically significant, are small.	
10.2307/30029601	10.2307/30029601	Knowing Love: The Epistemology of "Clarissa"	Katherine Binhammer	ELH	74	4	2007-01-01T00:00:00Z	pp. 859-879	The Johns Hopkins University Press	fla			
10.2307/20584336	10.2307/20584336	Love Story	David Cornel DeJong	Poetry	66	3	1945-06-01T00:00:00Z	pp. 138-139	Poetry Foundation	fla			
10.2307/4316654	10.2307/4316654	Millions "Love Lucy": Commodification and the Lucy Phenomenon	Lori Landay	NWSA Journal	11	2	1999-07-01T00:00:00Z	pp. 25-47	The Johns Hopkins University Press	fla		The ideology of mass consumer culture is central to all the levels of the Lucy phenomenon: in individual episodes that revolve around commodities, in the "good life" portrayed in the series, in Ball's public persona as "just a housewife," in the myriad of products tied to the series in the fifties (comic books, paper dolls, furniture, clothes), as a syndicated series, and in the nostalgic products popular today. At the core of the phenomenon is a juxtaposition of public and private embodied in both the character of Lucy and her creator, the popular public woman Lucille Ball. A textual reading of the episode "Lucy Does a TV Commercial" in the contexts of other aspects of the Lucy phenomenon (Ball's public persona, audience knowledge of the "real" marriage of Ball and Arnaz), and other popular articulations of gender and middle-class life in the postwar era suggests how the Lucy phenomenon was framed by and broke the frames of commodification. Overall, the series offers consumption as the solution to Lucy's dissatisfaction, an example of the consumerist-ethos that presented private solutions to public problems. However, at the same time that the phenomenon participated in the mass consumer economy, the show's comedy played on conflicts and anxieties about consumption and domesticity.	
10.2307/41811709	10.2307/41811709	Duties of Love and Self-Perfection: Moses Mendelssohn's Theory of Contract	Helge Dedek	Oxford Journal of Legal Studies	32	4	2012-12-01T00:00:00Z	pp. 713-739	Oxford University Press	fla		In his Doctrine of Right, Immanuel Kant calls Moses Mendelssohn, the towering figure of the German and the Jewish Enlightenment, a 'Rechtsforscher'—a legal scholar. Yet not only Kant, but numerous scholars of Natural law in the 18th and 19th centuries refer to and reflect on the juridical aspects of Mendelssohn's work, in particular his thoughts on the law of contract. In this article, I hope to shed some light on this hitherto rather unexplored facet of Mendelssohn's oeuvre. Mendelssohn develops his theory of contract from the starting point of the officium amoris: the unenforceable 'duty of love' to exercise beneficence. Mendelssohn's theory knows nothing yet of the modern contrast between altruism, distributive justice and 'freedom of contract'. By exploring Mendelssohn's theory, we will thus be able to catch a glimpse of the birth pangs of the modern Western discourse on the 'freedom of contract', which formed the backdrop as well as the jumping-off point of the development of a 'liberal' will theory of contract. Since this 'liberal' model is still the paradigm of how contract is mostly perceived today, Mendelssohn's theory also exemplifies the possibility of an alternative to our own conceptualizations of contract that inescapably shape the way we think.	
10.2307/40071937	10.2307/40071937	"You Think It Strange That I Can Love an Indian": Native Men, White Women, and Marriage in the Indian Service	Cathleen D. Cahill	Frontiers: A Journal of Women Studies	29	2/3	2008-01-01T00:00:00Z	pp. 106-145	University of Nebraska Press	fla			
10.2307/27839931	10.2307/27839931	Wheel Love: For growing legions of mountain bike racers, ambition is the only guide	NANCY D. HOLT	ABA Journal	83	7	1997-07-01T00:00:00Z	pp. 86-87	American Bar Association	fla			
10.1086/674552	10.1086/674552	Fearless Love, Death for Dignity: Female Suicide and Gendered Subjectivity in Rural North China	Hyeon Jung Lee	The China Journal		71	2014-01-01T00:00:00Z	pp. 25-42	College of Asia and the Pacific, The Australian National University, The University of Chicago Press	fla		Abstract While the high rates of female suicide in rural China have attracted much scholarly attention, previous studies have not addressed the psychological processes by which individual women in rural areas decide to attempt suicide. Based on ethnographic research in Hebei villages, this article examines different types of gendered subjectivity that lead some rural women to make fatal decisions. Suicidal behavior is an important form of female agency that asserts rural women’s moral aspiration for freedom and individual rights, but this form of agency does not highlight their ability to resist. Rather, it points to their powerless positions in the community. From these findings, I argue that neither the concept of resistance nor that of subjection can properly represent the complex realities and inner voices of rural women who attempt suicide.	
10.2307/4404367	10.2307/4404367	'Premgranth': All but Love	Alka Kumar	Economic and Political Weekly	31	28	1996-07-13T00:00:00Z	p. 1810	Economic and Political Weekly	fla			
10.2307/25126698	10.2307/25126698	Beyond the Border of Love	Maryanne O'Hara	The North American Review	287	1	2002-01-01T00:00:00Z	pp. 10-17	University of Northern Iowa	fla			
10.2307/41158397	10.2307/41158397	The American Traveler's Love and Solitude: "The Atlas", or William T. Vollmann's Pragmatics of the Double	Hikaru Fujii	Amerikastudien / American Studies	53	4	2008-01-01T00:00:00Z	pp. 507-520	Universitätsverlag WINTER Gmbh	fla		William T. Vollmann's novels are devoted to the interrogation of 'America,' which ultimately questions the American 'I' in the present time. A constant insight running through Vollmann's work is that this American self is not so much a free individual as a formation in power relationships. In short, Vollmann constitutes the self in the present as the doppelganger of 'America.' Reflecting this inquiry, his 1996 book The Atlas brings together the numerous fragments of an American world traveler's experiences. The nameless traveler always finds himself in asymmetrical relations with the 'other,' typically monetary relations with women in the Third World. In the age of globalization, the American self emerges out of the whole atlas. Yet, The Atlas rejects any optimistic gestures of Americanism: numerous scenes of violence and lines of difference run through the map, defining the position of the traveler where, against all idealism, he discovers himself to be a wretched white man scattering his desire and cash across the globe. In the post-Cold War era of Americanism, Vollmann's atlas converts any optimistic view of the self into its negative double, an intolerable man in the map of power relationships. The Vollmannian doppelganger reveals the unbearable weight of being American.	
10.2307/30057714	10.2307/30057714	The Growth of Love	Miss Jewsbury	The National Magazine	1	2	1830-08-01T00:00:00Z	p. 142	National Magazine	fla			
10.2307/20152733	10.2307/20152733	Loitering with Intent: Let Us Now Consider an Imperfect World Wherein the Skeleton Is Truth the Flesh Conjecture; Tuesday at Nine; Unprovoked Assaults on Old Loves; Hate II: The Sequel; In the Valley of Nagging Doubts; Hill Sketches; Loitering with Intent; Lover, Go Back to Him	Hooper Thorne	The Iowa Review	18	2	1988-04-01T00:00:00Z	pp. 36-45	University of Iowa	fla			
10.2307/25580670	10.2307/25580670	Old Loves	Peter Robinson	The Poetry Ireland Review		85	2006-01-01T00:00:00Z	p. 29	Poetry Ireland	fla			
10.2307/20601451	10.2307/20601451	Speaking of Love	Dana Gioia	Poetry	151	3	1987-12-01T00:00:00Z	p. 286	Poetry Foundation	fla			
10.1353/ren.2007.0268	10.1353/ren.2007.0268	Robert L. Montgomery. <i>The Perfect Ceremony of Love’s Rite: Shakespeare’s</i> Sonnets <i>and</i> A Lover’s Complaint	Gayle Gaskill	Renaissance Quarterly	60	3	2007-09-01T00:00:00Z	pp. 1043-1044	Renaissance Society of America, The University of Chicago Press	brv	The Perfect Ceremony of Love’s Rite: Shakespeare’s Sonnets and A Lover’s Complaint|Robert L Montgomery		
10.2307/40059767	10.2307/40059767	St. Thérèse's Autobiography: The "Ever New Hymn of Love"	M. Kathleen Madigan	Religion & Literature	31	2	1999-07-01T00:00:00Z	pp. 23-43	The University of Notre Dame	fla			
10.2307/25294704	10.2307/25294704	A Winter Love	John Frederick Nims	Chicago Review	24	3	1972-12-01T00:00:00Z	p. 49	Chicago Review	fla			
10.2307/23010509	10.2307/23010509	What Gets in the Way of Love Is Love	JASON SHINDER	Agni		52	2000-01-01T00:00:00Z	pp. 35-36	Agni	fla			
10.2307/20487407	10.2307/20487407	Bertha Soule's Love: Or How I Came by a Ring	Frances Fuller Barritt	Cosmopolitan Art Journal	4	1	1860-03-01T00:00:00Z	pp. 14-20		fla			
10.2307/2864969	10.2307/2864969	The Composition of Julian of Norwich's Revelation of Love	Nicholas Watson	Speculum	68	3	1993-07-01T00:00:00Z	pp. 637-683	Medieval Academy of America	fla			
10.2307/40653286	10.2307/40653286	SEASONS GREETINGS, LOVE AND REVOLUTION	JUDY MILES	Caribbean Quarterly	18	4	1972-12-01T00:00:00Z	p. 53	Caribbean Quarterly, University of the West Indies	fla			
10.2307/2703238	10.2307/2703238	Love and Politics in the "State of Wisfollette"	John E. Miller	Reviews in American History	23	1	1995-03-01T00:00:00Z	pp. 68-73	The Johns Hopkins University Press	brv	The La Follettes of Wisconsin: Love and Politics in Progressive America|Bernard A. Weisberger		
10.2307/1497498	10.2307/1497498	Stealing a Ghost's Love	Richard M. Dorson	Western Folklore	15	2	1956-04-01T00:00:00Z	p. 132	Western States Folklore Society	fla			
10.2307/364595	10.2307/364595	Love & Fame or What's a Heaven for?: Emily Dickinson's Teleology	George Monteiro	The New England Quarterly	51	1	1978-03-01T00:00:00Z	pp. 105-113	The New England Quarterly, Inc.	fla			
10.2307/29745399	10.2307/29745399	A Father's Love	Caroline E. Brown	The American Journal of Nursing	103	10	2003-10-01T00:00:00Z	p. 61	Lippincott Williams & Wilkins	mis			
10.2307/2873146	10.2307/2873146	Milton's Coy Eve: Paradise Lost and Renaissance Love Poetry	William Kerrigan, Gordon Braden	ELH	53	1	1986-04-01T00:00:00Z	pp. 27-51	The Johns Hopkins University Press	fla			
10.2307/2934621	10.2307/2934621	Sanskrit Love Lyrics	P. Lal	Transition		32	1967-08-01T00:00:00Z	pp. 32-33	Indiana University Press, W.E.B. Du Bois Institute	fla			
10.2307/25284219	10.2307/25284219	For The Love Of Art	Leonard Mark	The British Medical Journal	2	2601	1910-11-05T00:00:00Z	pp. 1468-1469	BMJ Publishing Group	fla			
10.2307/27762432	10.2307/27762432	Aspects of Love and Learning in El amor médico	ROBERT TER HORST	Revista Canadiense de Estudios Hispánicos	10	2	1986-01-01T00:00:00Z	pp. 279-298	Revista Canadiense de Estudios Hispánicos	fla		En la dramaturgia tradicional de la mujer sabia, la erudición de ésta se contrapone a lo afectivo, al amor, al matrimonio. El ejemplo más conocido será Les Femmes savantes de Molière, pero también pertenece a la misma categoría El desdén contra el desdén de Moreto. Desestimado y poco estudiado, El amor médico de Tirso suscitó juicios negativos de parte de sus pocos críticos debido a la errónea suposición que su protagonista Doña Jerónima es una bachillera hóstil a los hombres, al amor, y al matrimonio, que traiciona su inteligencia persiguiendo, cautivando y por fin casándose con Don Gaspar. Contrariamente a esta opinión, se puede demostrar que el amor es efectivamente la base filosófica de la comedia, que vincula los sentimientos con la razón, la sabiduría con las pasiones, la mujer con el hombre. El sublime agente de este eslabonamiento es la misma Doña Jerónima quien, partiendo de lo sexual, pasa a masculinas figuraciones mentales para encumbrarse en una hyperfanía amorosa que encierra en sí la intelectualidad y la sexualidad como grados que elevan los amantes al Parnaso. Es Doña Jerónima la cónyuge de la obra. Une en ella pares de términos aparentemente opuestos, la ciencia de la medicina con el amor, mediando entre ellos y traduciéndose en ellos. Representa en su plenitud la entera acción metafórica de la comedia.	
10.2307/3806712	10.2307/3806712	Gertrud Kolmar: Love's Service to the Earth	Bernhardt G. Blumenthal	The German Quarterly	42		1969-09-01T00:00:00Z	pp. 485-488	American Association of Teachers of German, Wiley	fla			
10.2307/27844416	10.2307/27844416	WHY LAWYERS LOSE IN LOVE	Steven Keeva	ABA Journal	91	5	2005-05-01T00:00:00Z	p. 76	American Bar Association	fla			
10.2307/1562004	10.2307/1562004	Supplices, The Satyr Play: Charles Mee's Big Love	Rush Rehm	The American Journal of Philology	123	1	2002-04-01T00:00:00Z	pp. 111-118	The Johns Hopkins University Press	fla			
10.2307/20371603	10.2307/20371603	Kappan's Love Lyric (#1040) ... a Taxonomy ...	Donald S. Klopp	The Phi Delta Kappan	47	7	1966-03-01T00:00:00Z	p. 391	Phi Delta Kappa International	mis			
10.1086/250007	10.1086/250007	Bettors Love Skewness, Not Risk, at the Horse Track	Joseph Golec, Maurry Tamarkin	Journal of Political Economy	106	1	1998-02-01T00:00:00Z	pp. 205-225	The University of Chicago Press	fla		Studies of horse race betting have empirically established a long shot anomaly; that is, low‐probabiliy, high‐variance bets (long shots) provide low mean returns and high‐probability, lowvariance bets provide relatively high mean returns. Because bettors willingly accept low‐return, high‐variance bets, researchers conclude that bettors are risk lovers. In this study, we show that the data are at least as consistent with risk aversion as they are with risk loving when one explicitly considers the skewness of bet returns. Because the variance and skewness of bet returns are highly correlated, bettors may appear to prefer variance when it is skewness that they crave.	
